sample_id,slot_idx,source_idx,phrase,gt_area,area_frac,soft_iou,mass_in_gt,gt_coverage,peak_in_gt,pred_sum,slices
2401156,0,0,The person is wearing goggles.,180,0.003587372448979592,0.04014421201798437,0.04401249952639967,0.31354124281141493,0,1282.304443359375,overall|small|part
2401156,1,3,The person is wearing a shoe.,792,0.015784438775510203,0.00622876297532526,0.009113032976810424,0.019300335585468946,0,1677.3631591796875,overall|small|part
2401156,2,7,a camera on a helmet,130,0.002590880102040816,0.0012749440685964188,0.0013179266019200055,0.037621512779822716,0,3710.97802734375,overall|small|part
2401156,3,1,The flag has the word forum on it.,4590,0.0914779974489796,0.06567369813648465,0.07938819816131752,0.2754467933006536,0,15925.55078125,overall|text
2401156,4,5,the hoodie has yellow letters,1120,0.022321428571428572,0.04774735164021397,0.05094859631500989,0.4317893981933594,0,9492.0009765625,overall|text
2401156,5,6,a black metal rail,2556,0.0509406887755102,0.01965374298477827,0.02247692687878115,0.13530288242584848,0,15386.185546875,overall|part
2401156,6,2,the sky is gray,2610,0.05201690051020408,0.0009775531757333993,0.001920078438450957,0.0019874781027607535,0,2701.61767578125,overall
2401157,0,2,Sign in the window.,986,0.019650829081632654,0.0001958060084603133,0.0006174685649568456,0.0002866495876718486,0,457.7342224121094,overall|small|text|part
2401157,1,3,England's flag shirt on man.,198,0.003946109693877551,0.022926989772205492,0.023043686772379144,0.8190798518633602,0,7037.84130859375,overall|small|text
2401157,2,4,There is an X on the building,180,0.003587372448979592,0.0007441587281180789,0.0008035747494684748,0.009964126348495483,0,2231.955078125,overall|small
2401157,3,1,Advertising on the building.,1826,0.03639190051020408,0.031315552795718536,0.04008095817764241,0.12525817102304815,0,5706.48583984375,overall|text
2401157,4,0,Motorcycles lined up,15914,0.31716358418367346,0.21567452157603956,0.31855972205093863,0.40040240707867286,0,20002.541015625,overall
2401157,5,5,Brookes Bros store front,1540,0.030691964285714284,0.007387898545042638,0.00875475434485921,0.04518173515022575,0,7947.6669921875,overall
2401158,0,0,Power pole on the street,697,0.013891103316326531,0.006500905284245407,0.007075026089947353,0.07417024806719086,0,7306.921875,overall|small
2401158,1,1,Yellow garbage can on the street,15,0.00029894770408163266,6.932738098603265e-05,6.93846750165909e-05,0.07745451927185058,0,16744.587890625,overall|small
2401158,2,7,license plate on the bus,85,0.0016940369897959183,0.009820779331830457,0.00984867644928833,0.776140370088465,0,6698.55810546875,overall|small
2401158,3,8,Red words on the bus,420,0.008370535714285714,0.011486325402682246,0.013346475896177996,0.076138855162121,0,2396.01220703125,overall|small
2401158,4,6,The trees have a few leaves.,5440,0.10841836734693877,0.0030772353800987344,0.010971860489331063,0.0042584945173824535,0,2111.42041015625,overall|part
2401158,5,2,The tree is bare.,11832,0.23580994897959184,0.04207092507563405,0.2235999848293939,0.049268091909783845,0,2607.066650390625,overall
2401158,6,3,Traffic on the streets.,3808,0.07589285714285714,0.05262899788582026,0.06546225017762089,0.21164235347459295,0,12311.4326171875,overall
2401159,0,0,books sitting on a coffee table,899,0.017916932397959183,0.007992461024417901,0.00873417523832497,0.08602055771332297,0,8854.0107421875,overall|small
2401159,1,2,a vent in the floor,475,0.009466677295918368,0.02679296525513229,0.027236059263765697,0.6222006064967105,0,10851.25,overall|small
2401159,2,5,corner of a mounted painting,986,0.019650829081632654,0.011798121523604292,0.014796624817201322,0.05501677104957689,0,3666.142578125,overall|small
2401159,3,6,TV on the wall,704,0.01403061224489796,0.0008826353736572616,0.0009708876544455156,0.009616735306653109,0,6973.1875,overall|small
2401159,4,8,White pillow on the couch,405,0.008071588010204082,0.024596800917015774,0.024635139679260763,0.9404940381462191,0,15461.6572265625,overall|small
2401159,5,3,A door you can see through,7203,0.1435546875,0.029920916512356566,0.08658366758429202,0.04372174571359156,0,3637.264892578125,overall|part
2401159,6,7,trees outside the window,3584,0.07142857142857142,0.06834243320809953,0.3769730423271319,0.07704464026859828,1,732.4873657226562,overall|part
2401160,0,0,black laptop with stickers,16472,0.3282844387755102,0.3380414334089639,0.8220361041528955,0.36473379186080923,1,7308.5537109375,overall
2401160,1,1,a laptop screen across from the young man,4092,0.08155293367346939,0.14943576923669227,0.2215429385164384,0.3146592901832081,1,5811.90185546875,overall
2401160,2,2,a picture is hanging on the wall,1026,0.020448022959183673,0.14685937206857616,0.1636977660361402,0.5880912795633833,0,3685.94921875,overall
2401160,3,3,Bottle on the table.,2904,0.05787627551020408,0.1123873944030982,0.1209817126233721,0.612713942514635,1,14707.357421875,overall
2401161,0,2,The head of the teddy bear.,1260,0.025111607142857144,0.018582360675202594,0.020473784786150563,0.16746132260277158,0,10305.923828125,overall|part
2401161,1,0,Windows on the building.,8428,0.16796875,0.06981996801171489,0.3068332442664441,0.08289501912570078,1,2276.9345703125,overall
2401161,2,1,feet of the teddy bear,1240,0.024713010204081634,0.007901694720895915,0.010195691808247961,0.03392764676001764,0,4126.2802734375,overall
2401161,3,3,white wispy clouds,1760,0.035076530612244895,0.002679944317050375,0.005158595562477806,0.005546592582355846,0,1892.3760986328125,overall
2401161,4,4,building made of grey concrete,6604,0.13161670918367346,0.07884558902452661,0.15734291471429243,0.1364727054921733,0,5728.03515625,overall
2401161,5,5,building holding the bear,1110,0.022122130102040817,0.004930666114041242,0.005275553987102933,0.0701321232426274,0,14756.1103515625,overall
2401163,0,5,yellow umbrella in garden,288,0.005739795918367347,0.0011232306191225896,0.0011852639602011328,0.021010523041089375,0,5105.2177734375,overall|small
